District,Department,Programme,Output class,Output,Item,Approved Budget for FY 2017/18 Total,Approved Budget Estimates for FY 2018/19 Wage,Approved Budget Estimates for FY 2018/19 Non Wage,Approved Budget Estimates for FY 2018/19 Gou Dev,Approved Budget Estimates for FY 2018/19 Donor,Approved Budget Estimates for FY 2018/19 Total
Amudat District,Administration,1381 District and Urban Administration,01  Higher LG Services,138102 Human Resource Management Services,227001 Travel inland,"1,160",0,"4,640",0,0,"4,640"
Amudat District,Administration,1381 District and Urban Administration,01  Higher LG Services,138102 Human Resource Management Services,"227004 Fuel, Lubricants and Oils","2,400",0,0,0,0,0
Amudat District,Administration,1381 District and Urban Administration,01  Higher LG Services,138103 Capacity Building for HLG  ,221003 Staff Training,"48,709",0,0,0,0,0
Amudat District,Administration,1381 District and Urban Administration,01  Higher LG Services,138104 Supervision of Sub County programme implementation ,211103 Allowances,"4,160",0,"4,160",0,0,"4,160"
Amudat District,Administration,1381 District and Urban Administration,01  Higher LG Services,138104 Supervision of Sub County programme implementation ,222001 Telecommunications,400,0,0,0,0,0
Amudat District,Administration,1381 District and Urban Administration,01  Higher LG Services,138104 Supervision of Sub County programme implementation ,227001 Travel inland,"1,600",0,0,0,0,0
Amudat District,Administration,1381 District and Urban Administration,01  Higher LG Services,138104 Supervision of Sub County programme implementation ,"227004 Fuel, Lubricants and Oils",0,0,"2,000",0,0,"2,000"
Amudat District,Administration,1381 District and Urban Administration,01  Higher LG Services,138105 Public Information Dissemination ,211103 Allowances,"1,862",0,0,0,0,0
Amudat District,Administration,1381 District and Urban Administration,01  Higher LG Services,138105 Public Information Dissemination ,"221011 Printing, Stationery, Photocopying and ","1,200",0,"1,662",0,0,"1,662"
Amudat District,Administration,1381 District and Urban Administration,01  Higher LG Services,138105 Public Information Dissemination ,227001 Travel inland,0,0,"2,000",0,0,"2,000"
Amudat District,Administration,1381 District and Urban Administration,01  Higher LG Services,138105 Public Information Dissemination ,"227004 Fuel, Lubricants and Oils",0,0,"1,000",0,0,"1,000"
Amudat District,Administration,1381 District and Urban Administration,01  Higher LG Services,138105 Public Information Dissemination ,228001 Maintenance - Civil,"1,600",0,0,0,0,0
Amudat District,Administration,1381 District and Urban Administration,01  Higher LG Services,138106 Office Support services,211103 Allowances,"2,400",0,0,0,0,0
Amudat District,Administration,1381 District and Urban Administration,01  Higher LG Services,138106 Office Support services,"228003 Maintenance ±Machinery, Equipment  ","6,187",0,"5,587",0,0,"5,587"
Amudat District,Administration,1381 District and Urban Administration,01  Higher LG Services,138108 Assets and Facilities Management,211103 Allowances,"1,500",0,0,0,0,0
Amudat District,Administration,1381 District and Urban Administration,01  Higher LG Services,138108 Assets and Facilities Management,"221011 Printing, Stationery, Photocopying and ","2,000",0,0,0,0,0
Amudat District,Administration,1381 District and Urban Administration,01  Higher LG Services,138108 Assets and Facilities Management,221014 Bank Charges and other Bank related costs,132,0,0,0,0,0
Amudat District,Administration,1381 District and Urban Administration,01  Higher LG Services,138108 Assets and Facilities Management,227001 Travel inland,"1,000",0,0,0,0,0
Amudat District,Administration,1381 District and Urban Administration,01  Higher LG Services,138108 Assets and Facilities Management,"227004 Fuel, Lubricants and Oils","1,100",0,0,0,0,0
Amudat District,Administration,1381 District and Urban Administration,01  Higher LG Services,138108 Assets and Facilities Management,228004 Maintenance ±Other,0,0,"6,732",0,0,"6,732"
Amudat District,Administration,1381 District and Urban Administration,01  Higher LG Services,138109 Payroll and Human Resource Management Systems,211103 Allowances,"14,600",0,"8,720",0,0,"8,720"
Amudat District,Administration,1381 District and Urban Administration,01  Higher LG Services,138109 Payroll and Human Resource Management Systems,"221011 Printing, Stationery, Photocopying and ","1,120",0,"2,000",0,0,"2,000"
Amudat District,Administration,1381 District and Urban Administration,01  Higher LG Services,138109 Payroll and Human Resource Management Systems,"227004 Fuel, Lubricants and Oils","5,760",0,"5,760",0,0,"5,760"
Amudat District,Administration,1381 District and Urban Administration,01  Higher LG Services,138111 Records Management Services,211103 Allowances,"1,700",0,0,0,0,0
Amudat District,Administration,1381 District and Urban Administration,01  Higher LG Services,138111 Records Management Services,"221011 Printing, Stationery, Photocopying and ","1,600",0,"2,600",0,0,"2,600"
Amudat District,Administration,1381 District and Urban Administration,01  Higher LG Services,138111 Records Management Services,222001 Telecommunications,200,0,0,0,0,0
Amudat District,Administration,1381 District and Urban Administration,01  Higher LG Services,138111 Records Management Services,227001 Travel inland,"1,200",0,"2,800",0,0,"2,800"
Amudat District,Administration,1381 District and Urban Administration,01  Higher LG Services,138111 Records Management Services,"227004 Fuel, Lubricants and Oils","1,700",0,0,0,0,0
Amudat District,Administration,1381 District and Urban Administration,03  Capital Purchases,138172 Administrative Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"53,809",0,"53,809"
Amudat District,Administration,1381 District and Urban Administration,03  Capital Purchases,138172 Administrative Capital,312104 Other Structures,"13,416",0,0,"207,975",0,"207,975"
Amudat District,Administration,1381 District and Urban Administration,03  Capital Purchases,138172 Administrative Capital,312202 Machinery and Equipment,0,0,0,"3,000",0,"3,000"
Amudat District,Administration,1381 District and Urban Administration,03  Capital Purchases,138172 Administrative Capital,312203 Furniture  Fixtures,0,0,0,"18,000",0,"18,000"
Amudat District,Administration,1381 District and Urban Administration,03  Capital Purchases,138172 Administrative Capital,312213 ICT Equipment,0,0,0,"10,000",0,"10,000"
Amudat District,Finance,1481 Financial Management and Accountability(LG),01  Higher LG Services,148101 LG Financial Management services,211101 General Staff Salaries,"101,010","95,223",0,0,0,"95,223"
Amudat District,Finance,1481 Financial Management and Accountability(LG),01  Higher LG Services,148101 LG Financial Management services,211103 Allowances,0,0,"3,840",0,0,"3,840"
Amudat District,Finance,1481 Financial Management and Accountability(LG),01  Higher LG Services,148101 LG Financial Management services,221014 Bank Charges and other Bank related costs,"3,644",0,0,0,0,0
Amudat District,Finance,1481 Financial Management and Accountability(LG),01  Higher LG Services,148101 LG Financial Management services,227001 Travel inland,0,0,"2,400",0,0,"2,400"
Amudat District,Finance,1481 Financial Management and Accountability(LG),01  Higher LG Services,148101 LG Financial Management services,"227004 Fuel, Lubricants and Oils",0,0,"2,400",0,0,"2,400"
Amudat District,Finance,1481 Financial Management and Accountability(LG),01  Higher LG Services,148101 LG Financial Management services,228002 Maintenance - Vehicles,0,0,"2,004",0,0,"2,004"
Amudat District,Finance,1481 Financial Management and Accountability(LG),01  Higher LG Services,148102 Revenue Management and Collection Services,211103 Allowances,"4,530",0,"2,560",0,0,"2,560"
Amudat District,Finance,1481 Financial Management and Accountability(LG),01  Higher LG Services,148102 Revenue Management and Collection Services,"221011 Printing, Stationery, Photocopying and ",940,0,"4,000",0,0,"4,000"
Amudat District,Finance,1481 Financial Management and Accountability(LG),01  Higher LG Services,148102 Revenue Management and Collection Services,221014 Bank Charges and other Bank related costs,102,0,378,0,0,378
Amudat District,Finance,1481 Financial Management and Accountability(LG),01  Higher LG Services,148102 Revenue Management and Collection Services,227001 Travel inland,"1,700",0,0,0,0,0
Amudat District,Finance,1481 Financial Management and Accountability(LG),01  Higher LG Services,148102 Revenue Management and Collection Services,"227004 Fuel, Lubricants and Oils","1,266",0,"1,600",0,0,"1,600"
Amudat District,Finance,1481 Financial Management and Accountability(LG),01  Higher LG Services,148103 Budgeting and Planning Services,211103 Allowances,"3,230",0,"4,000",0,0,"4,000"
Amudat District,Finance,1481 Financial Management and Accountability(LG),01  Higher LG Services,148103 Budgeting and Planning Services,221009 Welfare and Entertainment,0,0,701,0,0,701
Amudat District,Finance,1481 Financial Management and Accountability(LG),01  Higher LG Services,148103 Budgeting and Planning Services,221010 Special Meals and Drinks,"1,200",0,0,0,0,0
Amudat District,Finance,1481 Financial Management and Accountability(LG),01  Higher LG Services,148103 Budgeting and Planning Services,221014 Bank Charges and other Bank related costs,"1,200",0,"1,996",0,0,"1,996"
Amudat District,Finance,1481 Financial Management and Accountability(LG),01  Higher LG Services,148103 Budgeting and Planning Services,222001 Telecommunications,600,0,0,0,0,0
Amudat District,Finance,1481 Financial Management and Accountability(LG),01  Higher LG Services,148103 Budgeting and Planning Services,227001 Travel inland,"1,000",0,0,0,0,0
Amudat District,Finance,1481 Financial Management and Accountability(LG),01  Higher LG Services,148103 Budgeting and Planning Services,"227004 Fuel, Lubricants and Oils","1,467",0,0,0,0,0
Amudat District,Finance,1481 Financial Management and Accountability(LG),01  Higher LG Services,148104 LG Expenditure management Services,211103 Allowances,"2,860",0,"3,000",0,0,"3,000"
Amudat District,Finance,1481 Financial Management and Accountability(LG),01  Higher LG Services,148104 LG Expenditure management Services,"221011 Printing, Stationery, Photocopying and ","1,540",0,340,0,0,340
Amudat District,Finance,1481 Financial Management and Accountability(LG),01  Higher LG Services,148104 LG Expenditure management Services,227001 Travel inland,"1,600",0,0,0,0,0
Amudat District,Finance,1481 Financial Management and Accountability(LG),01  Higher LG Services,148104 LG Expenditure management Services,"227004 Fuel, Lubricants and Oils","1,620",0,"2,880",0,0,"2,880"
Amudat District,Finance,1481 Financial Management and Accountability(LG),01  Higher LG Services,148104 LG Expenditure management Services,"228003 Maintenance ±Machinery, Equipment  ",600,0,0,0,0,0
Amudat District,Finance,1481 Financial Management and Accountability(LG),01  Higher LG Services,148105 LG Accounting Services,211103 Allowances,"2,050",0,"1,600",0,0,"1,600"
Amudat District,Finance,1481 Financial Management and Accountability(LG),01  Higher LG Services,148105 LG Accounting Services,"221011 Printing, Stationery, Photocopying and ","2,353",0,"2,000",0,0,"2,000"
Amudat District,Finance,1481 Financial Management and Accountability(LG),01  Higher LG Services,148105 LG Accounting Services,221014 Bank Charges and other Bank related costs,0,0,4,0,0,4
Amudat District,Finance,1481 Financial Management and Accountability(LG),01  Higher LG Services,148105 LG Accounting Services,227001 Travel inland,"1,600",0,0,0,0,0
Amudat District,Finance,1481 Financial Management and Accountability(LG),01  Higher LG Services,148105 LG Accounting Services,"227004 Fuel, Lubricants and Oils","1,000",0,"2,400",0,0,"2,400"
Amudat District,Finance,1481 Financial Management and Accountability(LG),01  Higher LG Services,148106 Integrated Financial Management System,"221011 Printing, Stationery, Photocopying and ",0,0,"6,000",0,0,"6,000"
Amudat District,Finance,1481 Financial Management and Accountability(LG),01  Higher LG Services,148106 Integrated Financial Management System,221014 Bank Charges and other Bank related costs,0,0,"1,600",0,0,"1,600"
Amudat District,Finance,1481 Financial Management and Accountability(LG),01  Higher LG Services,148106 Integrated Financial Management System,222001 Telecommunications,0,0,"1,600",0,0,"1,600"
Amudat District,Finance,1481 Financial Management and Accountability(LG),01  Higher LG Services,148106 Integrated Financial Management System,227001 Travel inland,0,0,"12,800",0,0,"12,800"
Amudat District,Finance,1481 Financial Management and Accountability(LG),01  Higher LG Services,148106 Integrated Financial Management System,"227004 Fuel, Lubricants and Oils",0,0,"4,000",0,0,"4,000"
Amudat District,Finance,1481 Financial Management and Accountability(LG),01  Higher LG Services,148106 Integrated Financial Management System,228004 Maintenance ±Other,0,0,"4,000",0,0,"4,000"
Amudat District,Finance,1481 Financial Management and Accountability(LG),01  Higher LG Services,148108 Sector Management and Monitoring,211103 Allowances,"3,200",0,"2,560",0,0,"2,560"
Amudat District,Finance,1481 Financial Management and Accountability(LG),01  Higher LG Services,148108 Sector Management and Monitoring,"221011 Printing, Stationery, Photocopying and ",350,0,0,0,0,0
Amudat District,Finance,1481 Financial Management and Accountability(LG),01  Higher LG Services,148108 Sector Management and Monitoring,222001 Telecommunications,400,0,0,0,0,0
Amudat District,Finance,1481 Financial Management and Accountability(LG),01  Higher LG Services,148108 Sector Management and Monitoring,227001 Travel inland,650,0,0,0,0,0
Amudat District,Finance,1481 Financial Management and Accountability(LG),01  Higher LG Services,148108 Sector Management and Monitoring,"227004 Fuel, Lubricants and Oils","2,020",0,"1,510",0,0,"1,510"
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,01  Higher LG Services,138201 LG Council Adminstration services,211101 General Staff Salaries,"113,141","109,397",0,0,0,"109,397"
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,01  Higher LG Services,138201 LG Council Adminstration services,211103 Allowances,"19,600",0,"42,000",0,0,"42,000"
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,01  Higher LG Services,138201 LG Council Adminstration services,221009 Welfare and Entertainment,"1,200",0,0,0,0,0
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,01  Higher LG Services,138201 LG Council Adminstration services,"221011 Printing, Stationery, Photocopying and ","2,500",0,0,0,0,0
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,01  Higher LG Services,138201 LG Council Adminstration services,221014 Bank Charges and other Bank related costs,763,0,788,0,0,788
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,01  Higher LG Services,138201 LG Council Adminstration services,222001 Telecommunications,"1,200",0,0,0,0,0
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,01  Higher LG Services,138201 LG Council Adminstration services,"227004 Fuel, Lubricants and Oils","8,500",0,"24,000",0,0,"24,000"
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,01  Higher LG Services,138201 LG Council Adminstration services,228002 Maintenance - Vehicles,"8,100",0,"13,670",0,0,"13,670"
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,01  Higher LG Services,138202 LG procurement management services,211101 General Staff Salaries,"22,046","22,046",0,0,0,"22,046"
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,01  Higher LG Services,138202 LG procurement management services,211103 Allowances,"4,500",0,"7,500",0,0,"7,500"
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,01  Higher LG Services,138202 LG procurement management services,221009 Welfare and Entertainment,0,0,"1,800",0,0,"1,800"
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,01  Higher LG Services,138202 LG procurement management services,221010 Special Meals and Drinks,"1,460",0,0,0,0,0
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,01  Higher LG Services,138202 LG procurement management services,"221011 Printing, Stationery, Photocopying and ","4,010",0,"4,000",0,0,"4,000"
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,01  Higher LG Services,138202 LG procurement management services,221014 Bank Charges and other Bank related costs,200,0,0,0,0,0
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,01  Higher LG Services,138202 LG procurement management services,222001 Telecommunications,300,0,0,0,0,0
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,01  Higher LG Services,138202 LG procurement management services,227001 Travel inland,"1,000",0,0,0,0,0
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,01  Higher LG Services,138202 LG procurement management services,"227004 Fuel, Lubricants and Oils","1,800",0,"1,800",0,0,"1,800"
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,01  Higher LG Services,138202 LG procurement management services,228004 Maintenance ±Other,0,0,"1,170",0,0,"1,170"
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,01  Higher LG Services,138203 LG staff recruitment services,211101 General Staff Salaries,"18,000","18,000",0,0,0,"18,000"
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,01  Higher LG Services,138203 LG staff recruitment services,211103 Allowances,"4,485",0,"6,845",0,0,"6,845"
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,01  Higher LG Services,138203 LG staff recruitment services,221009 Welfare and Entertainment,0,0,"1,600",0,0,"1,600"
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,01  Higher LG Services,138203 LG staff recruitment services,221010 Special Meals and Drinks,"2,000",0,0,0,0,0
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,01  Higher LG Services,138203 LG staff recruitment services,"221011 Printing, Stationery, Photocopying and ",793,0,"1,000",0,0,"1,000"
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,01  Higher LG Services,138203 LG staff recruitment services,227001 Travel inland,0,0,933,0,0,933
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,01  Higher LG Services,138203 LG staff recruitment services,"227004 Fuel, Lubricants and Oils","1,100",0,0,0,0,0
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,01  Higher LG Services,138204 LG Land management services,211103 Allowances,"3,497",0,"3,497",0,0,"3,497"
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,01  Higher LG Services,138204 LG Land management services,221009 Welfare and Entertainment,0,0,650,0,0,650
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,01  Higher LG Services,138204 LG Land management services,221010 Special Meals and Drinks,650,0,0,0,0,0
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,01  Higher LG Services,138204 LG Land management services,"227004 Fuel, Lubricants and Oils","1,477",0,"1,477",0,0,"1,477"
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,01  Higher LG Services,138205 LG Financial Accountability,211103 Allowances,"6,654",0,"7,654",0,0,"7,654"
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,01  Higher LG Services,138205 LG Financial Accountability,221009 Welfare and Entertainment,0,0,"1,800",0,0,"1,800"
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,01  Higher LG Services,138205 LG Financial Accountability,221010 Special Meals and Drinks,"1,600",0,0,0,0,0
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,01  Higher LG Services,138205 LG Financial Accountability,"221011 Printing, Stationery, Photocopying and ","1,500",0,"1,500",0,0,"1,500"
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,01  Higher LG Services,138205 LG Financial Accountability,221014 Bank Charges and other Bank related costs,350,0,294,0,0,294
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,01  Higher LG Services,138205 LG Financial Accountability,227001 Travel inland,"1,644",0,"3,000",0,0,"3,000"
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,01  Higher LG Services,138205 LG Financial Accountability,"227004 Fuel, Lubricants and Oils","2,500",0,"2,000",0,0,"2,000"
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,01  Higher LG Services,138206 LG Political and executive oversight,211103 Allowances,"5,700",0,"7,700",0,0,"7,700"
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,01  Higher LG Services,138206 LG Political and executive oversight,"221011 Printing, Stationery, Photocopying and ",0,0,840,0,0,840
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,01  Higher LG Services,138206 LG Political and executive oversight,227001 Travel inland,"3,219",0,0,0,0,0
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,01  Higher LG Services,138206 LG Political and executive oversight,"227004 Fuel, Lubricants and Oils","4,710",0,"5,600",0,0,"5,600"
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,01  Higher LG Services,138207 Standing Committees Services,211103 Allowances,"6,380",0,"6,380",0,0,"6,380"
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,01  Higher LG Services,138207 Standing Committees Services,221009 Welfare and Entertainment,0,0,"2,100",0,0,"2,100"
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,01  Higher LG Services,138207 Standing Committees Services,221010 Special Meals and Drinks,"2,100",0,0,0,0,0
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,01  Higher LG Services,138207 Standing Committees Services,227001 Travel inland,"2,800",0,"2,800",0,0,"2,800"
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,03  Capital Purchases,138272 Administrative Capital,312202 Machinery and Equipment,0,0,0,250,0,250
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,03  Capital Purchases,138272 Administrative Capital,312203 Furniture  Fixtures,0,0,0,"21,250",0,"21,250"
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,03  Capital Purchases,138272 Administrative Capital,312213 ICT Equipment,0,0,0,"12,500",0,"12,500"
Amudat District,Statutory Bodies,1382 Local Statutory Bodies,03  Capital Purchases,138272 Administrative Capital,314201 Materials and supplies,0,0,0,"15,000",0,"15,000"
Amudat District,Production and Marketing,0181 Agricultural Extension Services,01  Higher LG Services,018101 Extension Worker Services,227001 Travel inland,0,0,"46,092",0,0,"46,092"
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018201 District Production Management Services,211101 General Staff Salaries,"275,927",0,0,0,0,0
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018201 District Production Management Services,211103 Allowances,"373,260",0,0,0,0,0
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018201 District Production Management Services,211104 Statutory salaries,"4,840",0,0,0,0,0
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018201 District Production Management Services,213001 Medical expenses (To employees),"15,000",0,0,0,0,0
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018201 District Production Management Services,221009 Welfare and Entertainment,"1,200",0,0,0,0,0
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018201 District Production Management Services,"221011 Printing, Stationery, Photocopying and ","16,567",0,908,0,0,908
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018201 District Production Management Services,221013 Bad Debts,"2,493",0,0,0,0,0
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018201 District Production Management Services,221014 Bank Charges and other Bank related costs,"7,420",0,0,0,0,0
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018201 District Production Management Services,222001 Telecommunications,"7,200",0,0,0,0,0
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018201 District Production Management Services,224006 Agricultural Supplies,"291,885",0,"917,625",0,0,"917,625"
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018201 District Production Management Services,227001 Travel inland,"20,610",0,"4,000",0,0,"4,000"
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018201 District Production Management Services,"227004 Fuel, Lubricants and Oils","145,880",0,0,0,0,0
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018201 District Production Management Services,228002 Maintenance - Vehicles,"45,000",0,0,0,0,0
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018201 District Production Management Services,"228003 Maintenance ±Machinery, Equipment  ","13,600",0,0,0,0,0
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018202 Crop disease control and marketing,211103 Allowances,"2,040",0,0,0,0,0
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018202 Crop disease control and marketing,211104 Statutory salaries,"3,086",0,0,0,0,0
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018202 Crop disease control and marketing,221010 Special Meals and Drinks,"1,800",0,0,0,0,0
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018202 Crop disease control and marketing,"221011 Printing, Stationery, Photocopying and ","1,220",0,0,0,0,0
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018202 Crop disease control and marketing,224006 Agricultural Supplies,"5,500",0,0,0,0,0
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018202 Crop disease control and marketing,227001 Travel inland,"2,802",0,0,0,0,0
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018202 Crop disease control and marketing,"227004 Fuel, Lubricants and Oils","2,400",0,0,0,0,0
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018203 Livestock Vaccination and Treatment,"221011 Printing, Stationery, Photocopying and ",0,0,"2,000",0,0,"2,000"
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018203 Livestock Vaccination and Treatment,224001 Medical and Agricultural supplies,0,0,0,0,0,0
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018203 Livestock Vaccination and Treatment,227001 Travel inland,0,0,"7,743",0,0,"7,743"
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018205 Crop disease control and regulation,221002 Workshops and Seminars,0,0,0,0,0,0
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018205 Crop disease control and regulation,221008 Computer supplies and Information ,0,0,0,0,0,0
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018205 Crop disease control and regulation,"221011 Printing, Stationery, Photocopying and ",0,0,"1,335",0,0,"1,335"
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018205 Crop disease control and regulation,224001 Medical and Agricultural supplies,0,0,0,0,0,0
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018205 Crop disease control and regulation,227001 Travel inland,0,0,"8,408",0,0,"8,408"
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018206 Vermin control services,211103 Allowances,"3,300",0,0,0,0,0
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018206 Vermin control services,223001 Property Expenses,950,0,0,0,0,0
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018206 Vermin control services,"227004 Fuel, Lubricants and Oils","1,200",0,0,0,0,0
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018207 Tsetse vector control and commercial insects farm promotion ,211103 Allowances,"1,440",0,0,0,0,0
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018207 Tsetse vector control and commercial insects farm promotion ,211104 Statutory salaries,"2,140",0,0,0,0,0
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018207 Tsetse vector control and commercial insects farm promotion ,"221011 Printing, Stationery, Photocopying and ",500,0,"1,000",0,0,"1,000"
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018207 Tsetse vector control and commercial insects farm promotion ,224001 Medical and Agricultural supplies,"1,200",0,0,0,0,0
